,Government affairs/ regulatory activities,Marketing opportunities,Annual Meeting,Educational events,Member pricing advantages,Networking opportunities,Support the mission of BioNJ,BioNJ Business Solutions Purchasing Program,"BioLines, the BioNJ e-letter",HR/job openings,To participate in advancing/ contributing to the industry,Other
All Respondents,39.0%,54.2%,32.2%,55.9%,24.6%,79.7%,68.6%,11.0%,25.4%,25.4%,77.1%,1.7%
Biotechnology/ Life Science R&D,55.9%,25.4%,28.8%,62.7%,30.5%,74.6%,83.1%,13.6%,27.1%,39.0%,81.4%,1.7%
Biotechnology/ Life Science Service,16.3%,83.7%,39.5%,44.2%,18.6%,88.4%,48.8%,7.0%,25.6%,11.6%,67.4%,2.3%
Other,33.3%,80.0%,26.7%,60.0%,13.3%,73.3%,66.7%,13.3%,20.0%,13.3%,86.7%,0.0%
CEO/CFO,27.3%,47.7%,38.6%,56.8%,22.7%,79.5%,72.7%,13.6%,25.0%,27.3%,65.9%,0.0%
"Reg/Mktg,Pub Policy/Comm, HR, Legal",60.9%,43.5%,17.4%,56.5%,13.0%,73.9%,78.3%,0.0%,26.1%,26.1%,87.0%,0.0%
Service Provider,8.3%,83.3%,25.0%,50.0%,8.3%,83.3%,50.0%,0.0%,8.3%,0.0%,66.7%,0.0%
Business Dev Director,31.6%,73.7%,36.8%,47.4%,36.8%,89.5%,52.6%,21.1%,31.6%,26.3%,84.2%,5.3%
Other/Research,65.0%,45.0%,35.0%,65.0%,40.0%,75.0%,75.0%,15.0%,30.0%,35.0%,90.0%,5.0%
Less than 10,27.3%,51.5%,39.4%,51.5%,12.1%,72.7%,63.6%,9.1%,24.2%,6.1%,66.7%,0.0%
10 - 49,37.1%,65.7%,28.6%,54.3%,37.1%,77.1%,57.1%,11.4%,31.4%,42.9%,71.4%,2.9%
50 or More,57.1%,48.6%,34.3%,60.0%,22.9%,88.6%,80.0%,11.4%,25.7%,22.9%,91.4%,2.9%