,Very Familiar,Familiar,Neutral,Not Familiar,Not At All Familiar
All Respondents,22.7%,27.3%,13.6%,27.3%,9.1%
Biotechnology/ Life Science R&D,0.0%,25.0%,37.5%,25.0%,12.5%
Biotechnology/ Life Science Service,28.6%,28.6%,0.0%,42.9%,0.0%
Other,50.0%,33.3%,0.0%,0.0%,16.7%
CEO/CFO,25.0%,16.7%,25.0%,33.3%,0.0%
"Reg/Mktg,Pub Policy/Comm, HR, Legal",25.0%,25.0%,0.0%,0.0%,50.0%
Service Provider,0.0%,0.0%,0.0%,100.0%,0.0%
Business Dev Director,50.0%,50.0%,0.0%,0.0%,0.0%
Other/Research,0.0%,100.0%,0.0%,0.0%,0.0%
Less than 10,37.5%,25.0%,0.0%,25.0%,12.5%
10 - 49,20.0%,20.0%,60.0%,0.0%,0.0%
50 or More,25.0%,50.0%,0.0%,25.0%,0.0%
Yes,0,0,0,0,
Former member,27.3%,36.4%,9.1%,27.3%,0.0%
Never member,18.2%,18.2%,18.2%,27.3%,18.2%
Primary responsibility,20.0%,10.0%,30.0%,40.0%,0.0%
Some responsibility,22.2%,44.4%,0.0%,22.2%,11.1%
No responsibility,33.3%,33.3%,0.0%,0.0%,33.3%