,Very Important,Important,Neutral,Not Important,Not At All Important
All Respondents,12.4%,64.2%,18.2%,5.1%,
Biotechnology/ Life Science R&D,2.9%,70.6%,22.1%,4.4%,
Biotechnology/ Life Science Service,20.0%,56.0%,16.0%,8.0%,
Other,27.8%,61.1%,11.1%,0.0%,
CEO/CFO,14.6%,62.5%,12.5%,10.4%,
"Reg/Mktg,Pub Policy/Comm, HR, Legal",8.7%,69.6%,17.4%,4.3%,
Service Provider,16.7%,75.0%,8.3%,0.0%,
Business Dev Director,15.4%,65.4%,15.4%,3.8%,
Other/Research,7.1%,57.1%,35.7%,0.0%,
Less than 10,22.0%,48.8%,19.5%,9.8%,
10 - 49,0.0%,70.3%,24.3%,5.4%,
50 or More,15.0%,70.0%,12.5%,2.5%,
Primary responsibility,17.5%,60.3%,14.3%,7.9%,
Some responsibility,8.0%,74.0%,14.0%,4.0%,
No responsibility,8.7%,56.5%,34.8%,0.0%,