,Very Satisfied,Satisfied,Neutral,Not Satisfied,Not At All Satisfied
All Respondents,10.6%,52.8%,34.1%,2.4%,
Biotechnology/ Life Science R&D,10.8%,55.4%,32.3%,1.5%,
Biotechnology/ Life Science Service,12.2%,48.8%,34.1%,4.9%,
Other,6.3%,50.0%,43.8%,0.0%,
CEO/CFO,11.6%,53.5%,30.2%,4.7%,
"Reg/Mktg,Pub Policy/Comm, HR, Legal",8.7%,56.5%,34.8%,0.0%,
Service Provider,8.3%,50.0%,33.3%,8.3%,
Business Dev Director,15.8%,47.4%,36.8%,0.0%,
Other/Research,7.7%,53.8%,38.5%,0.0%,
Less than 10,14.3%,42.9%,37.1%,5.7%,
10 - 49,9.1%,54.5%,33.3%,3.0%,
50 or More,10.3%,53.8%,35.9%,0.0%,
Primary responsibility,14.8%,55.6%,25.9%,3.7%,
Some responsibility,10.6%,46.8%,40.4%,2.1%,
No responsibility,0.0%,57.1%,42.9%,0.0%,